# cell_number,T2_degC,LON,LAT
2.120000000000000000e+02,2.766362915039062500e+02,-1.559405517578125000e+01,2.795461273193359375e+01
2.130000000000000000e+02,2.765379333496093750e+02,-1.559176635742187500e+01,2.795459365844726562e+01
2.140000000000000000e+02,2.765245056152343750e+02,-1.558947753906250000e+01,2.795457077026367188e+01
2.150000000000000000e+02,2.765322875976562500e+02,-1.558721923828125000e+01,2.795455932617187500e+01
2.160000000000000000e+02,2.766663818359375000e+02,-1.558493041992187500e+01,2.795452499389648438e+01
2.170000000000000000e+02,2.768865661621093750e+02,-1.558264160156250000e+01,2.795449829101562500e+01
2.180000000000000000e+02,2.770953674316406250e+02,-1.558038330078125000e+01,2.795447540283203125e+01
2.190000000000000000e+02,2.773304443359375000e+02,-1.557809448242187500e+01,2.795444869995117188e+01
2.200000000000000000e+02,2.775905761718750000e+02,-1.557580566406250000e+01,2.795442962646484375e+01
2.210000000000000000e+02,2.779012756347656250e+02,-1.557351684570312500e+01,2.795440292358398438e+01
2.220000000000000000e+02,2.781178894042968750e+02,-1.557125854492187500e+01,2.795438766479492188e+01
2.230000000000000000e+02,2.782122497558593750e+02,-1.556896972656250000e+01,2.795434570312500000e+01
2.240000000000000000e+02,2.781794128417968750e+02,-1.556668090820312500e+01,2.795432662963867188e+01
2.250000000000000000e+02,2.780892333984375000e+02,-1.556439208984375000e+01,2.795429229736328125e+01
2.260000000000000000e+02,2.778633422851562500e+02,-1.556213378906250000e+01,2.795428466796875000e+01
2.270000000000000000e+02,2.776888427734375000e+02,-1.555984497070312500e+01,2.795425033569335938e+01
2.280000000000000000e+02,2.775040893554687500e+02,-1.555755615234375000e+01,2.795423889160156250e+01
2.290000000000000000e+02,2.773129882812500000e+02,-1.555526733398437500e+01,2.795421600341796875e+01
2.300000000000000000e+02,2.771429443359375000e+02,-1.555300903320312500e+01,2.795418167114257812e+01
2.310000000000000000e+02,2.769572753906250000e+02,-1.555072021484375000e+01,2.795415496826171875e+01
2.320000000000000000e+02,2.769198608398437500e+02,-1.554843139648437500e+01,2.795413589477539062e+01
2.330000000000000000e+02,2.768996887207031250e+02,-1.554617309570312500e+01,2.795411300659179688e+01
2.340000000000000000e+02,2.769617004394531250e+02,-1.554388427734375000e+01,2.795408630371093750e+01
2.350000000000000000e+02,2.770818176269531250e+02,-1.554159545898437500e+01,2.795405960083007812e+01
2.360000000000000000e+02,2.773443908691406250e+02,-1.553930664062500000e+01,2.795402526855468750e+01
2.370000000000000000e+02,2.775498962402343750e+02,-1.553704833984375000e+01,2.795400619506835938e+01
2.380000000000000000e+02,2.777615661621093750e+02,-1.553475952148437500e+01,2.795399093627929688e+01
2.390000000000000000e+02,2.779738769531250000e+02,-1.553247070312500000e+01,2.795396423339843750e+01
2.400000000000000000e+02,2.781931457519531250e+02,-1.553018188476562500e+01,2.795393753051757812e+01
2.410000000000000000e+02,2.784137268066406250e+02,-1.552792358398437500e+01,2.795391082763671875e+01
2.420000000000000000e+02,2.786283874511718750e+02,-1.552563476562500000e+01,2.795388031005859375e+01
2.430000000000000000e+02,2.788372192382812500e+02,-1.552334594726562500e+01,2.795386123657226562e+01
2.440000000000000000e+02,2.790369873046875000e+02,-1.552105712890625000e+01,2.795383453369140625e+01
2.450000000000000000e+02,2.792345275878906250e+02,-1.551879882812500000e+01,2.795380783081054688e+01
2.460000000000000000e+02,2.793421630859375000e+02,-1.551651000976562500e+01,2.795378112792968750e+01
2.470000000000000000e+02,2.795444946289062500e+02,-1.551422119140625000e+01,2.795375823974609375e+01
2.480000000000000000e+02,2.797539062500000000e+02,-1.551196289062500000e+01,2.795371627807617188e+01
2.490000000000000000e+02,2.799755554199218750e+02,-1.550967407226562500e+01,2.795370483398437500e+01
